                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.068,                  2.322,                 1.2627,                0.54775,                0.60103,                0.55027,                0.36841,                0.96363,                  1.524,                 1.1397,             0.00016491,             0.00016491,             0.00016491
                      2,                0.88818,                 1.1497,                 1.1094,                0.56085,                0.60086,                0.58022,                 0.3888,                 1.0188,                 1.3172,                 1.1611,             0.00032793,             0.00032793,             0.00032793
                      3,                0.85221,                0.97643,                 1.0844,                0.63118,                0.64839,                0.63993,                0.41626,                  0.985,                 1.2632,                 1.1426,             0.00048728,             0.00048728,             0.00048728
                      4,                0.82232,                0.90296,                 1.0758,                0.60436,                0.67189,                0.65687,                0.45038,                 1.0021,                  1.163,                 1.1799,              0.0004835,              0.0004835,              0.0004835
                      5,                0.80189,                0.83643,                 1.0548,                0.64415,                 0.6868,                 0.6851,                0.46124,                0.99995,                 1.1198,                 1.1641,               0.000478,               0.000478,               0.000478
                      6,                 0.7678,                0.77556,                 1.0375,                0.66606,                0.61352,                0.65411,                0.44178,                 1.0052,                 1.1443,                 1.1691,              0.0004725,              0.0004725,              0.0004725
                      7,                0.74225,                0.74178,                 1.0202,                0.62704,                0.62264,                0.66141,                0.46274,                0.95382,                  1.125,                 1.1264,               0.000467,               0.000467,               0.000467
                      8,                0.72071,                 0.7131,                 1.0173,                0.71419,                 0.6547,                0.68779,                0.48211,                 0.9594,                 1.1032,                 1.1451,              0.0004615,              0.0004615,              0.0004615
                      9,                0.71091,                0.68165,                 1.0088,                0.69533,                0.73324,                0.72675,                 0.5048,                0.96114,                 1.1375,                 1.1466,               0.000456,               0.000456,               0.000456
                     10,                0.69345,                0.65239,                 1.0026,                0.69503,                0.69071,                0.71977,                0.51076,                0.93152,                 1.0987,                 1.1288,              0.0004505,              0.0004505,              0.0004505
                     11,                0.67355,                0.61593,                0.99294,                0.70282,                0.70081,                0.71177,                0.50244,                0.94796,                 1.0675,                 1.1429,               0.000445,               0.000445,               0.000445
                     12,                0.67319,                 0.6053,                0.99165,                0.69708,                0.68469,                0.70203,                0.49063,                0.96235,                 1.0838,                 1.1543,              0.0004395,              0.0004395,              0.0004395
                     13,                0.66298,                0.60912,                0.98935,                 0.6749,                0.68877,                0.70731,                0.49965,                0.94864,                 1.0449,                 1.1371,               0.000434,               0.000434,               0.000434
                     14,                0.65095,                0.57918,                0.98139,                0.73583,                0.70016,                0.72688,                0.51159,                0.94082,                 1.0396,                 1.1372,              0.0004285,              0.0004285,              0.0004285
